file,bytes,type
Hodges_Codex_Closed_Loop_Addendum_v2.1.2.docx,38074,docx
Hodges_Codex_Coding_Cybersecurity_Addendum.docx,39004,docx
Nick_Hodges_Discovery_Library_v0_1.docx,39773,docx
Sion_Axiom_Norma_Authorship_Record.docx,37071,docx
Cipher_8B3_Backward_Validated_Temporal_Alignment_v1_10.md,2081,md
Codex_Addendum_Cipher8B3_Insertion_v1_10.md,1071,md
Hodges_Work_Mode_Card_v1.0.md,635,md
Nick_Hodges_Discovery_Library_v0_1.md,5957,md
Reverse_Binding_Operation_Log_Cipher8B3.md,1530,md
Reverse_Binding_Operation_Log_Cipher8B3_v1_10.md,650,md
Formal_Ownership_Rights_Notice.pdf,2372,pdf
Hodges_Codex_Addendum_Rest_Healing.pdf,1791,pdf
Hodges_Codex_Addendum_S_Curve.pdf,1763,pdf
Hodges_Codex_Curvature_Trilogy.pdf,3224572,pdf
Hodges_Codex_Title_Page_v2.2.pdf,1942,pdf
Hodges_Codex_Visual_Identity_Spine_and_Box.pdf,3562,pdf
Hodges_Healing_Codex_v1.0.pdf,4795,pdf
Nick_Hodges_Discovery_Library_v0_1.pdf,6725,pdf
SAN_DayShift_NightShift_Addendum_v1_1.pdf,7894,pdf
SAN_One_Page_Shift_Card_v1_0.pdf,3488,pdf
Sion_Axiom_Norma_v1.0_Copyright_Ready_Public_Disclosure.pdf,3991,pdf
"A_book_cover_in_the_image_features_the_title_""Hodg.png",3442686,png
A_diagram_showcases_quantum-informed_symbolic_syst.png,3623147,png
A_digital_vector_illustration_in_black_and_white_s.png,2975785,png
Hodges_Time_Glyph.png,2975785,png
SION_Transfer_Pack_Checksums.txt,1648,txt
Hodges_Codex_v2.3_Master_Archive.zip,6019,zip
Hodges_Library_Archive_Partial.zip,4130637,zip
NORMA_Transfer_Pack_Private_v1_0.zip,103303,zip
SION_Transfer_Pack_Private_v1_1.zip,351264,zip
